peak,gene_symbol,ENSEMBL_ID,score,chromosome,strand,start,end
X10060,NA,ENSG00000271781,37156.5492138863,chr5,+,659000,679599
X32770,ZNF784,ENSG00000179922,35704.5150170326,chr19,-,55628800,55656199
X34095,PFKL,ENSG00000141959,35673.5989561081,chr21,+,44298400,44340399
X896,CTPS1,ENSG00000171793,35664.3769116402,chr1,+,40995600,41059999
X30346,SRP68,ENSG00000167881,34974.9346418381,chr17,-,76073000,76094399
X17256,RN7SL395P,ENSG00000244307,34459.0014882088,chr8,+,144785000,144811399
X1743,NA,ENSG00000225075,33701.9922447205,chr1,-,112686000,112707999
X31497,NA,ENSG00000267778,33400.8071570396,chr19,+,1238600,1297399
X29744,MRPS23,ENSG00000181610,33182.938018322,chr17,-,57855600,57905799
X27870,NDUFB10,ENSG00000140990,33009.6056671143,chr16,+,1958600,2008999
X3673,GTF3C2,ENSG00000115207,32509.1963534355,chr2,-,27362200,27387399
X23851,NA,ENSG00000258317,32051.7935581207,chr12,-,56125600,56183599
X21617,MUS81,ENSG00000172732,31960.742825985,chr11,+,65848800,65874799
X17241,CYC1,ENSG00000179091,31113.3822045326,chr8,+,144090000,144120799
X29509,MIR6784,ENSG00000277249,30608.4471945763,chr17,-,45095600,45156399
X21602,SLC25A45,ENSG00000162241,30521.6947226524,chr11,-,65376600,65429599
X17637,SNORD121B,ENSG00000238300,30380.629781723,chr9,-,33912000,33941399
X2184,NA,ENSG00000279430,30265.1608161926,chr1,-,159906000,159942399
X30583,PDE6G,ENSG00000185527,30255.1259174347,chr17,-,81662000,81724799
X21420,NA,ENSG00000254602,29847.8100690842,chr11,+,57637000,57659599
X13868,RBAK-RBAKDN,ENSG00000272968,29792.4488372803,chr7,+,4990600,5000599
X30585,NA,ENSG00000262831,29446.8145756721,chr17,+,81839800,81879199
X8588,PSMD2,ENSG00000175166,29443.135304451,chr3,+,184298600,184366999
X32598,RPL13A,ENSG00000142541,29362.4024949074,chr19,+,49486000,49503599
X14595,AEBP1,ENSG00000106624,29308.4905467033,chr7,+,44105200,44124399
X23775,NA,ENSG00000257989,29289.0749034882,chr12,-,52136400,52151799
X34913,NA,ENSG00000224794,28955.7474713326,chr22,+,39292000,39321399
X33757,PPDPF,ENSG00000125534,28861.0894184113,chr20,+,63512800,63527199
X31477,FSTL3,ENSG00000070404,28490.6424856186,chr19,+,670000,689399
X30349,UBALD2,ENSG00000185262,28359.1860604286,chr17,+,76263600,76284399
X30297,NUP85,ENSG00000125450,28358.5073657036,chr17,+,75217400,75252799
X33649,ZBP1,ENSG00000124256,28236.855158329,chr20,-,57646800,57715799
X29750,NA,ENSG00000280233,28106.4492430687,chr17,+,57986000,58009599
X29623,PICART1,ENSG00000246640,28075.103407383,chr17,-,50050800,50097799
X1991,ZNF687-AS1,ENSG00000232671,27575.5524282455,chr1,-,151281800,151306599
X14593,DBNL,ENSG00000136279,27477.8532776833,chr7,+,44052600,44087599
X29102,NA,ENSG00000265205,27461.1301951408,chr17,-,28671800,28728599
X21620,C11orf68,ENSG00000175573,27349.1084370613,chr11,-,65913800,65933399
X3757,CLIP4,ENSG00000115295,27336.1004939079,chr2,+,29207200,29235799
X4609,TTC31,ENSG00000115282,26955.5870261192,chr2,+,74480800,74510199
X32574,PLEKHA4,ENSG00000105559,26785.1860084534,chr19,-,48867000,48876999
X26130,NA,ENSG00000258565,26534.5467400551,chr14,-,68868200,68958999
X4868,RPL31,ENSG00000071082,26357.2849946022,chr2,+,100998200,101009399
X32652,ACP4,ENSG00000142513,26243.3307199478,chr19,+,50789800,50808999
X25126,NA,ENSG00000260910,26117.6649231911,chr13,-,113912600,113920999
X3010,SNAP47,ENSG00000143740,25462.6256418228,chr1,+,227728000,227739199
X32330,AXL,ENSG00000167601,25028.6138410568,chr19,+,41212400,41269799
X25467,FRMD6-AS2,ENSG00000258537,24932.1182694435,chr14,-,51571800,51584999
X6476,GPC1,ENSG00000063660,24813.60257864,chr2,+,240427200,240471199
X22852,PLEKHG6,ENSG00000008323,24509.3620023727,chr12,+,6308400,6343199
X3367,NA,ENSG00000272524,24345.569920063,chr2,+,10117800,10148399
X7166,MIR1226,ENSG00000221585,24304.9700903893,chr3,+,47833800,47878399
X31561,NA,ENSG00000105694,24265.2336301804,chr19,+,2535600,2553399
X31597,NA,ENSG00000252408,24238.1406488419,chr19,-,3522200,3564199
X12344,H1-2,ENSG00000187837,24156.3377532959,chr6,-,26051400,26056599
X31633,NA,ENSG00000267255,24090.6487145424,chr19,-,4434200,4463799
X30593,DUS1L,ENSG00000169718,24044.2094898224,chr17,-,82073000,82114799
X34501,LOC646216,ENSG00000230203,23986.7729520798,chr22,-,26424400,26454599
X31611,DAPK3,ENSG00000167657,23839.1460494995,chr19,-,3975000,3986799
X471,LYPLA2,ENSG00000011009,23553.8424358368,chr1,+,23786200,23802999
X29521,NA,ENSG00000262633,23343.9885220528,chr17,+,46931200,46952999
X8134,NA,ENSG00000260633,23083.431687355,chr3,-,134347200,134375999
X33519,ZFAS1,ENSG00000177410,22654.3957080841,chr20,+,49276800,49292199
X30292,NA,ENSG00000279035,22444.7372083664,chr17,+,75121400,75150399
X15242,AP1S1,ENSG00000106367,22311.461769104,chr7,+,101152000,101176999
X30334,TRIM65,ENSG00000141569,22302.2456798553,chr17,-,75889600,75903399
X32339,RPS19,ENSG00000105372,22279.2743263245,chr19,+,41859400,41898799
X1221,JUN,ENSG00000177606,22179.9407067299,chr1,-,58779600,58786199
X33099,DEFB115,ENSG00000215547,22175.9613656998,chr20,+,31052000,31075999
X21533,SLC3A2,ENSG00000168003,22012.2461233139,chr11,+,62877600,62893399
X8742,NA,ENSG00000232874,21838.6410651207,chr3,-,194128600,194145199
X34551,NA,ENSG00000238195,21793.3900313377,chr22,+,27194200,27235599
X32249,NA,ENSG00000200209,21745.0483818054,chr19,+,38298400,38317599
X29371,CNP,ENSG00000173786,21506.4057717323,chr17,+,41964400,41985399
X10463,SNORD72,ENSG00000212296,21499.3204650879,chr5,-,40823000,40836199
X25902,PLEKHG3,ENSG00000126822,21374.6390008926,chr14,+,64751600,64783799
X15226,NA,ENSG00000184414,21217.1267294884,chr7,+,100558400,100589199
X22295,NNMT,ENSG00000166741,21052.0465946198,chr11,+,114293600,114305399
X14192,NA,ENSG00000273237,21049.4187235832,chr7,-,26183000,26203599
X30592,DCXR-DT,ENSG00000264569,20844.9559855461,chr17,+,82040200,82068799
X30562,NA,ENSG00000260005,20776.2591967583,chr17,+,81227800,81268799
X18673,LRRC26,ENSG00000184709,20630.1830453873,chr9,-,137170800,137257199
X34303,NA,ENSG00000272829,20575.6340694427,chr22,-,20988800,21004199
X7154,PTPN23,ENSG00000076201,20505.8540177345,chr3,+,47402600,47430199
X22678,NRIP2,ENSG00000053702,20467.4838452339,chr12,-,2843000,2892399
X8054,NA,ENSG00000206417,20422.3681354523,chr3,+,129312800,129318199
X24520,MIR5188,ENSG00000265345,20381.2063150406,chr12,+,124908800,124917999
X12138,RUFY1-AS1,ENSG00000244945,20368.3837704659,chr5,-,179594800,179614199
X25910,CHURC1-FNTB,ENSG00000125954,20358.0817508698,chr14,+,64925400,64978599
X1275,GADD45A,ENSG00000116717,20348.8185868263,chr1,+,67684200,67689999
X4607,INO80B,ENSG00000115274,20262.0544700623,chr2,+,74454200,74465199
X140,MIR6728,ENSG00000274258,20125.6395492554,chr1,-,8854000,8874799
X21773,IL18BP,ENSG00000137496,20117.1642551422,chr11,+,71994400,72027799
X32561,NA,ENSG00000268465,20114.5272269249,chr19,+,48460800,48506199
X30422,SYNGR2,ENSG00000108639,19502.8693394661,chr17,+,78165800,78201799
X703,KIAA1522,ENSG00000162522,19403.638361454,chr1,+,32764200,32790799
X13942,RAC1,ENSG00000136238,19396.2649669647,chr7,+,6384600,6431999
X18660,NA,ENSG00000213212,19323.3331756592,chr9,-,136818600,136871399
X26394,MIR4505,ENSG00000264741,19288.3458566666,chr14,+,73750000,73792599
X19592,NA,ENSG00000280238,19164.3692359924,chr10,+,73791800,73830799
X23905,MIR616,ENSG00000208028,19058.3109922409,chr12,-,57508200,57542599
X18422,NA,ENSG00000267834,19017.7959942818,chr9,-,128992400,129026799
X1961,ADAMTSL4,ENSG00000143382,18963.7701468468,chr1,+,150545400,150582599
X22595,FBXL14,ENSG00000171823,18810.7818264961,chr12,-,1569800,1597799
X2125,BGLAP,ENSG00000242252,18750.6042490005,chr1,+,156229200,156254799
X21362,NA,ENSG00000256897,18716.6036472321,chr11,-,47227800,47250199
X13847,FOXK1,ENSG00000164916,18617.2246618271,chr7,+,4721800,4802399
X22113,ARHGAP42-AS1,ENSG00000248027,18573.8261890411,chr11,-,100735800,100753599
X25479,RNU6-301P,ENSG00000207004,18329.0798130035,chr14,+,51719800,51735799
X22743,CCND2,ENSG00000118971,18272.9199094772,chr12,+,4270600,4323599
X608,RCC1,ENSG00000180198,18245.0090708733,chr1,+,28503200,28526599
X22864,LPAR5,ENSG00000184574,18081.410712719,chr12,-,6624400,6704199
X19784,SNCG,ENSG00000173267,18060.2841877937,chr10,+,86962800,86975599
X24471,OGFOD2,ENSG00000111325,18054.3619856834,chr12,+,122973000,122987199
X23644,RAPGEF3,ENSG00000079337,17856.296497345,chr12,-,47774000,47824599
X11730,NA,ENSG00000253852,17835.7501635551,chr5,-,150635800,150660199
X32542,NOP53,ENSG00000105373,17813.848962307,chr19,+,47738800,47770199
X12471,CDKN1A,ENSG00000124762,17809.6008071899,chr6,+,36676000,36689999
X13892,NA,ENSG00000241269,17585.1371965408,chr7,+,5405600,5463199
X7208,WDR6,ENSG00000178252,17452.8272938728,chr3,+,49002000,49033399
X11504,NA,ENSG00000271196,17435.8834047318,chr5,-,138458200,138471199
X34659,LIF-AS1,ENSG00000232530,17354.0975470543,chr22,+,30237400,30259599
X23070,CDKN1B,ENSG00000111276,17338.9806184769,chr12,+,12715000,12736999
X6142,TUBA4A,ENSG00000127824,17234.5423755646,chr2,-,219276000,219310599
X22875,PTPN6,ENSG00000111679,16856.6893196106,chr12,+,6954400,6991599
X27226,NA,ENSG00000240163,16664.884853363,chr15,+,60392800,60400999
X34316,NA,ENSG00000273342,16372.957947731,chr22,+,21636800,21662199
X23827,HNRNPA1,ENSG00000135486,16235.2279105186,chr12,+,54285600,54290999
X1415,NA,ENSG00000282057,16093.4326972961,chr1,-,85567800,85584599
X33229,MYH7B,ENSG00000078814,15916.0483279228,chr20,+,34981000,35012199
X25161,ARHGEF40,ENSG00000165801,15903.2490038872,chr14,+,21067800,21099799
X12127,HNRNPAB,ENSG00000197451,15871.525765419,chr5,+,178199600,178233999
X33442,PCIF1,ENSG00000100982,15813.9611535072,chr20,+,45943000,45954399
X531,MRPS6P1,ENSG00000270733,15810.8127717972,chr1,-,26266600,26306199
X18655,DIPK1B,ENSG00000165716,15806.9026017189,chr9,+,136713000,136727999
X30386,RNU4-47P,ENSG00000222808,15783.5334386826,chr17,-,77125400,77142399
X22338,PHLDB1,ENSG00000019144,15689.6060800552,chr11,+,118610000,118669799
X26452,FOS,ENSG00000170345,15528.4273614883,chr14,+,75275600,75283799
X29943,NA,ENSG00000277463,15523.3160409927,chr17,+,62613800,62668199
X7256,RBM5-AS1,ENSG00000281691,15326.9249668121,chr3,-,50110200,50128999
X22686,NA,ENSG00000250899,15288.6299347878,chr12,+,3026600,3049399
X13593,ADAP1,ENSG00000105963,15120.0072083473,chr7,-,957000,979999
X17259,ZNF7,ENSG00000147789,15051.1528940201,chr8,+,144834400,144853799
X29089,TMEM97,ENSG00000109084,14865.8114242554,chr17,+,28323600,28376399
X30603,LINC01970,ENSG00000265692,14845.9745335579,chr17,-,82286800,82301599
X13954,C7orf26,ENSG00000146576,14801.8987188339,chr7,+,6596600,6668799
X29501,GFAP,ENSG00000131095,14685.6055512428,chr17,-,44921800,44946799
X15183,ARPC1B,ENSG00000130429,14647.6890773773,chr7,+,99377800,99426199
X7216,NA,ENSG00000270441,14493.6630320549,chr3,-,49158600,49167399
X29055,TUFMP1,ENSG00000265646,14421.9423751831,chr17,-,27086400,27092199
X34920,MIEF1,ENSG00000100335,14409.0276036263,chr22,+,39509200,39533799
X4095,NA,ENSG00000273269,14363.2822384834,chr2,-,47173000,47178799
X32734,CACNG8,ENSG00000142408,14292.445207119,chr19,+,53973600,53994999
X32189,LSR,ENSG00000105699,14279.8260393143,chr19,+,35247400,35284799
X12347,H1-4,ENSG00000168298,14264.3262119293,chr6,+,26156000,26161399
X29355,EIF1,ENSG00000173812,14228.7479171753,chr17,+,41688400,41698199
X34844,CDC42EP1,ENSG00000128283,14208.346809864,chr22,+,37558000,37576199
X26187,SLC10A1,ENSG00000100652,14065.6499915123,chr14,-,69765000,69773999
X33108,MCTS2P,ENSG00000101898,13929.6398615837,chr20,+,31547200,31577799
X32565,FAM83E,ENSG00000105523,13854.722905159,chr19,-,48612800,48641199
X27909,NA,ENSG00000262482,13827.7167496681,chr16,-,2946600,2983999
X10201,OTULINL,ENSG00000145569,13694.9529314041,chr5,+,14476800,14511999
X13891,SLC29A4,ENSG00000164638,13553.1814336777,chr7,+,5343600,5404599
X20121,NDUFB8,ENSG00000166136,13462.8214745522,chr10,-,100559800,100569599
X33713,LSM14B,ENSG00000149657,13146.3538770676,chr20,+,62121400,62160799
X32576,BAX,ENSG00000087088,13123.5057439804,chr19,+,48953800,48971399
X14708,UPP1,ENSG00000183696,13075.7187643051,chr7,+,48085600,48115399
X964,MPL,ENSG00000117400,13016.9333667755,chr1,+,43342200,43390799
X31782,PPAN-P2RY11,ENSG00000243207,12964.922059536,chr19,+,10104600,10119599
X18363,ST6GALNAC4,ENSG00000136840,12958.6905608177,chr9,-,127923400,127953599
X21630,NA,ENSG00000255320,12888.1589865685,chr11,-,66227400,66291599
X32001,RPL18A,ENSG00000105640,12798.1967558861,chr19,+,17859000,17870799
X13583,SUN1,ENSG00000164828,12785.9291386604,chr7,+,820400,838999
X27522,GRAMD2A,ENSG00000175318,12781.4513993263,chr15,-,72195600,72232999
X16779,CASC11,ENSG00000249375,12778.1923956871,chr8,-,127731200,127744199
X3583,NA,ENSG00000271936,12772.260020256,chr2,+,24812200,24852999
X4919,NA,ENSG00000238273,12726.3894324303,chr2,+,105391600,105400599
X4743,LOC442028,ENSG00000259848,12666.1125106812,chr2,-,94943200,94948999
X8653,NA,ENSG00000197099,12526.0248203278,chr3,-,186775800,186795599
X34315,YDJC,ENSG00000161179,12506.7768201828,chr22,-,21612800,21634399
X12650,HSP90AB1,ENSG00000096384,12427.271296978,chr6,+,44242000,44264799
X2816,FAM71A,ENSG00000162771,12361.3156995773,chr1,+,212604000,212622199
X28843,NA,ENSG00000276384,12255.4412374496,chr17,-,7556400,7597599
X14621,PPIA,ENSG00000196262,12170.7202019691,chr7,+,44793400,44808799
X29054,TUFMP1,ENSG00000265646,12117.8463249207,chr17,-,27081000,27084199
X16959,ST3GAL1,ENSG00000008513,12090.0095381737,chr8,-,133549800,133577999
X27879,RAB26,ENSG00000167964,11982.3481349945,chr16,+,2145600,2161599
X18643,DKFZP434A062,ENSG00000262075,11966.2791929245,chr9,-,136323400,136367799
X21046,LINC00958,ENSG00000251381,11941.6245765686,chr11,-,12974000,12988999
X31558,TIMM13,ENSG00000099800,11941.0803704262,chr19,-,2409200,2432799
X34322,YPEL1,ENSG00000100027,11873.4375095367,chr22,-,21746000,21761799
X7724,RN7SL815P,ENSG00000243359,11872.124475956,chr3,+,115797200,115821199
X16355,PABPC1,ENSG00000070756,11866.6017951965,chr8,-,100716000,100725399
X23294,NA,ENSG00000256615,11858.96768713,chr12,+,21641600,21659999
X6672,NA,ENSG00000272263,11853.2658243179,chr3,-,12828600,12841399
X21636,PELI3,ENSG00000174516,11789.2374014854,chr11,+,66464800,66480999
X32606,NA,ENSG00000268636,11519.9065599442,chr19,-,49629400,49673399
X21622,SART1,ENSG00000175467,11448.9915018082,chr11,+,65971600,65984799
X28823,ACADVL,ENSG00000072778,11373.1021618843,chr17,+,7218000,7228799
X32264,NA,ENSG00000267375,11362.1937327385,chr19,-,38689000,38744199
X19170,NA,ENSG00000229485,11259.4898476601,chr10,-,41874200,41916199
X17105,NA,ENSG00000259891,11235.5248785019,chr8,-,140504800,140517199
X3852,CRIM1,ENSG00000150938,11169.1345744133,chr2,+,36379200,36389799
X28927,SNHG29,ENSG00000175061,11153.8377599716,chr17,+,16438200,16478799
X1061,RAD54L,ENSG00000085999,11145.6974973679,chr1,+,46271200,46289999
X27902,SRRM2,ENSG00000167978,11125.7478165627,chr16,+,2750200,2773999
X15486,NA,ENSG00000226380,11101.893825531,chr7,-,130890400,130906999
X27882,CASKIN1,ENSG00000167971,11078.2799434662,chr16,-,2200200,2258199
X32584,SNRNP70,ENSG00000104852,11001.3814582825,chr19,+,49096600,49112799
X26352,PSEN1,ENSG00000080815,10950.8239688873,chr14,+,73122000,73146599
X20806,PNPLA2,ENSG00000177666,10824.443500042,chr11,+,819400,879799
X23806,NA,ENSG00000273658,10798.9103507996,chr12,+,53474800,53514399
X13557,NA,ENSG00000234471,10798.3843216896,chr7,-,498600,528799
X983,IPO13,ENSG00000117408,10763.4698867798,chr1,+,43954000,44006999
X22232,IL18,ENSG00000150782,10738.1192722321,chr11,-,112149800,112162999
X776,TRAPPC3,ENSG00000054116,10730.4115681648,chr1,-,36170400,36185599
X20166,PPRC1,ENSG00000148840,10716.0000286102,chr10,+,102132000,102166399
X30551,CHMP6,ENSG00000176108,10705.5691509247,chr17,+,80988600,81005799
X29633,XYLT2,ENSG00000015532,10696.8602366447,chr17,+,50344600,50394999
X5449,RND3,ENSG00000115963,10630.3119754791,chr2,-,150480000,150490999
X15218,PILRA,ENSG00000085514,10601.0606479645,chr7,+,100366200,100376399
X23631,PCED1B,ENSG00000179715,10543.6361474991,chr12,+,47073800,47085799
X34444,MIR6817,ENSG00000277872,10530.6557211876,chr22,+,25458200,25464599
X18433,NA,ENSG00000261334,10514.4614367485,chr9,-,129478400,129512599
X21619,FIBP,ENSG00000172500,10375.505771637,chr11,-,65885200,65900999
X13917,NA,ENSG00000201990,10261.3535385132,chr7,-,6004800,6040199
X32281,RPS16,ENSG00000105193,10165.0820393562,chr19,-,39428400,39446999
X26119,NA,ENSG00000258623,10081.211461544,chr14,-,68674200,68697599
X35239,NA,NA,10068.3971819878,chr22_KI270733v1_random,NA,143000,151799
X29587,LOC105371814,ENSG00000248278,10009.5724010468,chr17,-,48918800,48934999
X32632,NA,ENSG00000269392,10000.7210049629,chr19,-,50373000,50388599
X4542,SFXN5,ENSG00000144040,9968.1787071228,chr2,-,73063400,73090799
X14271,RPS2P30,ENSG00000225286,9925.92529058456,chr7,-,28679800,28709199
X21559,NA,LRG_180,9812.81739521027,chr11,+,64215800,64277599
X18960,MRPS21P5,ENSG00000226395,9716.970703125,chr10,+,28083800,28089399
X23082,RPS6P1,ENSG00000241352,9515.55359077454,chr12,+,12861200,12894799
X22677,NA,ENSG00000256030,9485.02393579483,chr12,-,2793000,2841999
X15230,GNB2,ENSG00000172354,9455.71079492569,chr7,+,100672200,100696799
X18201,GNG10,ENSG00000242616,9451.31945466995,chr9,+,111714000,111726799
X684,TXLNA,ENSG00000084652,9377.18617248535,chr1,+,32186000,32227599
X8636,TRA2B,ENSG00000136527,9368.87919855118,chr3,-,185925400,185939999
X21678,RPS6KB2,ENSG00000175634,9330.38229990005,chr11,+,67430800,67447799
X17469,NA,ENSG00000273226,9270.70225095749,chr9,+,19374400,19381199
X30325,GALK1,ENSG00000108479,9259.64537096024,chr17,-,75772400,75780399
X33452,SLC35C2,ENSG00000080189,9198.82130432129,chr20,-,46341000,46364999
X11723,TCOF1,ENSG00000070814,9191.38553380966,chr5,+,150356400,150412599
X32666,MIR99B,ENSG00000207550,9187.8301486969,chr19,+,51687400,51715599
X22883,C1R,ENSG00000159403,9184.92713356018,chr12,-,7087200,7111799
X21411,TNKS1BP1,ENSG00000149115,9142.24442005157,chr11,-,57291800,57335399
X18692,ARRDC1,ENSG00000197070,9094.11935424805,chr9,+,137601600,137620199
X27822,NA,ENSG00000259840,8827.29772472382,chr16,-,712600,735999
X17681,RN7SL338P,ENSG00000241568,8827.27866029739,chr9,+,35053800,35080799
X14509,MPLKIP,ENSG00000168303,8823.83466529846,chr7,-,40132200,40151799
X21687,ALDH3B1,ENSG00000006534,8764.81104803085,chr11,+,68010000,68073599
X955,NA,ENSG00000225099,8696.66413879395,chr1,+,42922200,42963399
X30611,NA,ENSG00000279066,8682.2747797966,chr17,+,82431800,82451599
X18562,CACFD1,ENSG00000160325,8678.08475780487,chr9,+,133467400,133476199
X9969,NA,ENSG00000248774,8637.59980726242,chr4,-,173330600,173335599
X26435,LTBP2,ENSG00000119681,8637.45032167435,chr14,-,74609000,74623799
X23855,NABP2,ENSG00000139579,8599.6741194725,chr12,+,56225600,56250999
X34099,NA,ENSG00000230061,8568.30375099182,chr21,-,44430800,44449399
X14455,NA,ENSG00000237400,8568.19925403595,chr7,+,36437800,36442799
X31171,NA,ENSG00000265496,8557.08490753174,chr18,+,49488200,49493599
X16362,YWHAZ,ENSG00000164924,8512.29805517197,chr8,-,100948400,100953999
X28782,MYBBP1A,ENSG00000132382,8509.92837572098,chr17,-,4528400,4550599
X18556,SURF6,ENSG00000148296,8387.78825426102,chr9,-,133329800,133365799
X30277,NA,ENSG00000266036,8365.70414400101,chr17,-,74755600,74779399
X29679,NOG,ENSG00000183691,8358.87377738953,chr17,+,56588600,56600199
X32580,MIR6798,ENSG00000273898,8262.07811164856,chr19,+,49009600,49022999
X32419,NA,ENSG00000267282,8257.74695730209,chr19,-,44896800,44911799
X26820,CLBA1,ENSG00000140104,8251.74392843246,chr14,+,105002600,105023799
X17772,RPL21P83,ENSG00000230188,8196.27603769302,chr9,-,37499000,37526199
X23791,TNS2,ENSG00000111077,8187.52430105209,chr12,+,53032000,53073599
X21732,CCND1,ENSG00000110092,8185.12792778015,chr11,+,69639400,69656399
X34274,NA,ENSG00000250261,8157.87553501129,chr22,-,20562600,20605199
X34085,LOC105372824;PDXK,ENSG00000160209,8155.25055265427,chr21,+,43715000,43779799
X19665,RPS24,ENSG00000138326,8094.54111099243,chr10,+,78033200,78046199
X25320,TRAPPC6B,ENSG00000182400,8078.03657627106,chr14,-,39172000,39190399
X30381,MGAT5B,ENSG00000167889,8057.37419271469,chr17,+,76908400,76958999
X23891,NEMP1,ENSG00000166881,8056.48553371429,chr12,-,57084800,57113599
X12445,RPL10A,ENSG00000198755,7994.03382587433,chr6,+,35462000,35491399
X20060,NA,ENSG00000230928,7991.15202999115,chr10,+,98242600,98276399
X3665,CAD,ENSG00000084774,7973.51544284821,chr2,+,27232800,27256399
X22343,NA,ENSG00000245869,7972.29333305359,chr11,-,118887400,118918399
X15976,SNORD54,ENSG00000238650,7960.57005882263,chr8,-,56067800,56076799
X30365,NA,ENSG00000272386,7854.87338542938,chr17,+,76553400,76573999
X30012,SNHG25,ENSG00000266402,7809.15797376633,chr17,+,64144400,64151199
X30618,NA,ENSG00000262652,7800.63964653015,chr17,+,82581000,82606599
X2138,NA,ENSG00000272068,7769.94000005722,chr1,-,156633000,156678399
X12149,LTC4S,ENSG00000213316,7764.95753288269,chr5,+,179790200,179834599
X13660,MAD1L1,ENSG00000002822,7738.743019104,chr7,-,2095200,2156999
X6519,NA,ENSG00000224232,7732.01565885544,chr2,+,241489000,241511799
X32068,NA,ENSG00000261770,7643.52784252167,chr19,-,27749800,27782799
X881,NA,ENSG00000237899,7600.4124584198,chr1,-,40684800,40692999
X35224,SBF1,ENSG00000100241,7546.93883085251,chr22,-,50434600,50450799
X32333,CCDC97,ENSG00000142039,7450.94541454315,chr19,+,41300200,41336399
X28391,CTRL,ENSG00000141086,7445.95511341095,chr16,-,67925400,67973799
X31492,ARHGAP45,ENSG00000180448,7437.88520145416,chr19,+,1075800,1096599
X23079,RPL37AP9,ENSG00000242329,7425.17523288727,chr12,-,12828200,12842999
X34252,TRMT2A,ENSG00000099899,7358.38636541367,chr22,-,20119000,20160599
X18959,MRPS21P5,ENSG00000226395,7328.31911182404,chr10,+,28076200,28082999
X34622,GAS2L1,ENSG00000185340,7257.83945083618,chr22,+,29293400,29320199
